rank,skill_name,owner_repo,installs,page_url,category
,baoyu-image-gen,jimliu/baoyu-skills,,https://skills.sh/jimliu/baoyu-skills/baoyu-image-gen,all_time
,baoyu-danger-x-to-markdown,jimliu/baoyu-skills,,https://skills.sh/jimliu/baoyu-skills/baoyu-danger-x-to-markdown,all_time
,firecrawl,firecrawl/cli,,https://skills.sh/firecrawl/cli/firecrawl,all_time
,async-python-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/async-python-patterns,all_time
,next-upgrade,vercel-labs/next-skills,,https://skills.sh/vercel-labs/next-skills/next-upgrade,all_time
,sql-optimization-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/sql-optimization-patterns,all_time
,tsdown,antfu/skills,,https://skills.sh/antfu/skills/tsdown,all_time
,baoyu-url-to-markdown,jimliu/baoyu-skills,,https://skills.sh/jimliu/baoyu-skills/baoyu-url-to-markdown,all_time
,vitepress,antfu/skills,,https://skills.sh/antfu/skills/vitepress,all_time
,github-actions-templates,wshobson/agents,,https://skills.sh/wshobson/agents/github-actions-templates,all_time
,turborepo,antfu/skills,,https://skills.sh/antfu/skills/turborepo,all_time
,planning-with-files,othmanadi/planning-with-files,,https://skills.sh/othmanadi/planning-with-files/planning-with-files,all_time
,slidev,antfu/skills,,https://skills.sh/antfu/skills/slidev,all_time
,mobile-android-design,wshobson/agents,,https://skills.sh/wshobson/agents/mobile-android-design,all_time
,design-system-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/design-system-patterns,all_time
,enhance-prompt,google-labs-code/stitch-skills,,https://skills.sh/google-labs-code/stitch-skills/enhance-prompt,all_time
,javascript-testing-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/javascript-testing-patterns,all_time
,email-best-practices,resend/email-best-practices,,https://skills.sh/resend/email-best-practices/email-best-practices,all_time
,stripe-integration,wshobson/agents,,https://skills.sh/wshobson/agents/stripe-integration,all_time
,tanstack-query,jezweb/claude-skills,,https://skills.sh/jezweb/claude-skills/tanstack-query,all_time
,context7,intellectronica/agent-skills,,https://skills.sh/intellectronica/agent-skills/context7,all_time
,react-native-architecture,wshobson/agents,,https://skills.sh/wshobson/agents/react-native-architecture,all_time
,modern-javascript-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/modern-javascript-patterns,all_time
,react-native-design,wshobson/agents,,https://skills.sh/wshobson/agents/react-native-design,all_time
,tailwind-v4-shadcn,jezweb/claude-skills,,https://skills.sh/jezweb/claude-skills/tailwind-v4-shadcn,all_time
,monorepo-management,wshobson/agents,,https://skills.sh/wshobson/agents/monorepo-management,all_time
,interface-design,dammyjay93/interface-design,,https://skills.sh/dammyjay93/interface-design/interface-design,all_time
,seo-geo,resciencelab/opc-skills,,https://skills.sh/resciencelab/opc-skills/seo-geo,all_time
,react-state-management,wshobson/agents,,https://skills.sh/wshobson/agents/react-state-management,all_time
,interaction-design,wshobson/agents,,https://skills.sh/wshobson/agents/interaction-design,all_time
